Experiment no.,min_neighbours,scale_factor,faces_image_1,correct_im_1,incorrect_im_1,unrecognized_im_1,faces_image_2,correct_im_2,incorrect_im_2,unrecognized_im_2,total_faces,total_recognized,total_unrecognized
0,3,1.30,4,4,0,0,6,4,0,2,10,8,2
1,3,1.38,4,2,0,2,6,3,0,3,10,5,5
2,3,1.56,4,3,0,1,6,3,0,3,10,6,4
3,3,1.72,4,2,0,2,6,2,0,4,10,4,6
4,3,1.81,4,0,0,4,6,3,0,3,10,3,7
5,3,2.52,4,3,0,1,6,4,0,2,10,7,3
6,3,2.53,4,3,0,1,6,4,0,2,10,7,3
7,3,2.54,4,2,0,2,6,3,0,3,10,5,5
8,3,2.85,4,2,0,2,6,4,0,2,10,6,4
9,3,2.96,4,2,0,2,6,1,0,5,10,3,7
10,5,1.30,4,3,0,1,6,4,0,2,10,7,3
11,5,1.38,4,2,0,2,6,3,0,3,10,5,5
12,5,1.56,4,2,0,2,6,3,0,3,10,5,5
13,5,1.72,4,2,0,2,6,1,0,5,10,3,7
14,5,1.81,4,0,0,4,6,3,0,3,10,3,7
15,5,2.52,4,3,0,1,6,3,0,3,10,6,4
16,5,2.53,4,3,0,1,6,3,0,3,10,6,4
17,5,2.54,4,2,0,2,6,3,0,3,10,5,5
18,5,2.85,4,1,0,3,6,4,0,2,10,5,5
19,5,2.96,4,2,0,2,6,0,0,6,10,2,8
20,6,1.30,4,3,0,1,6,4,0,2,10,7,3
21,6,1.38,4,2,0,2,6,3,0,3,10,5,5
22,6,1.56,4,2,0,2,6,3,0,3,10,5,5
23,6,1.72,4,2,0,2,6,0,0,6,10,2,8
24,6,1.81,4,0,0,4,6,3,0,3,10,3,7
25,6,2.52,4,2,0,2,6,3,0,3,10,5,5
26,6,2.53,4,2,0,2,6,3,0,3,10,5,5
27,6,2.54,4,2,0,2,6,3,0,3,10,5,5
28,6,2.85,4,1,0,3,6,3,0,3,10,4,6
29,6,2.96,4,2,0,2,6,0,0,6,10,2,8
30,8,1.30,4,2,0,2,6,3,0,3,10,5,5
31,8,1.38,4,2,0,2,6,3,0,3,10,5,5
32,8,1.56,4,1,0,3,6,2,0,4,10,3,7
33,8,1.72,4,0,0,4,6,0,0,6,10,0,10
34,8,1.81,4,0,0,4,6,3,0,3,10,3,7
35,8,2.52,4,2,0,2,6,3,0,3,10,5,5
36,8,2.53,4,1,0,3,6,2,0,4,10,3,7
37,8,2.54,4,1,0,3,6,2,0,4,10,3,7
38,8,2.85,4,1,0,3,6,2,0,4,10,3,7
39,8,2.96,4,0,0,4,6,0,0,6,10,0,10
40,9,1.30,4,2,0,2,6,3,0,3,10,5,5
41,9,1.38,4,2,0,2,6,2,0,4,10,4,6
42,9,1.56,4,1,0,3,6,1,0,5,10,2,8
43,9,1.72,4,0,0,4,6,0,0,6,10,0,10
44,9,1.81,4,0,0,4,6,2,0,4,10,2,8
45,9,2.52,4,2,0,2,6,3,0,3,10,5,5
46,9,2.53,4,1,0,3,6,2,0,4,10,3,7
47,9,2.54,4,1,0,3,6,2,0,4,10,3,7
48,9,2.85,4,1,0,3,6,0,0,6,10,1,9
49,9,2.96,4,0,0,4,6,0,0,6,10,0,10
,,,,,,,,,,,,,
