Experiment no.,min_neighbours,scale_factor,faces_image_1,correct_im_1,incorrect_im_1,unrecognized_im_1,faces_image_2,correct_im_2,incorrect_im_2,unrecognized_im_2,total_faces,total_recognized,total_unrecognized,im_correct
0.0,3.0,1.3,4.0,4.0,0.0,0.0,6.0,4.0,0.0,2.0,10.0,8.0,2.0,"(0, 2)"
1.0,3.0,1.38,4.0,2.0,0.0,2.0,6.0,3.0,0.0,3.0,10.0,5.0,5.0,"(2, 3)"
2.0,3.0,1.56,4.0,3.0,0.0,1.0,6.0,3.0,0.0,3.0,10.0,6.0,4.0,"(1, 3)"
3.0,3.0,1.72,4.0,2.0,0.0,2.0,6.0,2.0,0.0,4.0,10.0,4.0,6.0,"(2, 4)"
4.0,3.0,1.81,4.0,0.0,0.0,4.0,6.0,3.0,0.0,3.0,10.0,3.0,7.0,"(4, 3)"
5.0,3.0,2.52,4.0,3.0,0.0,1.0,6.0,4.0,0.0,2.0,10.0,7.0,3.0,"(1, 2)"
6.0,3.0,2.53,4.0,3.0,0.0,1.0,6.0,4.0,0.0,2.0,10.0,7.0,3.0,"(1, 2)"
7.0,3.0,2.54,4.0,2.0,0.0,2.0,6.0,3.0,0.0,3.0,10.0,5.0,5.0,"(2, 3)"
8.0,3.0,2.85,4.0,2.0,0.0,2.0,6.0,4.0,0.0,2.0,10.0,6.0,4.0,"(2, 2)"
9.0,3.0,2.96,4.0,2.0,0.0,2.0,6.0,1.0,0.0,5.0,10.0,3.0,7.0,"(2, 5)"
10.0,5.0,1.3,4.0,3.0,0.0,1.0,6.0,4.0,0.0,2.0,10.0,7.0,3.0,"(1, 2)"
11.0,5.0,1.38,4.0,2.0,0.0,2.0,6.0,3.0,0.0,3.0,10.0,5.0,5.0,"(2, 3)"
12.0,5.0,1.56,4.0,2.0,0.0,2.0,6.0,3.0,0.0,3.0,10.0,5.0,5.0,"(2, 3)"
13.0,5.0,1.72,4.0,2.0,0.0,2.0,6.0,1.0,0.0,5.0,10.0,3.0,7.0,"(2, 5)"
14.0,5.0,1.81,4.0,0.0,0.0,4.0,6.0,3.0,0.0,3.0,10.0,3.0,7.0,"(4, 3)"
15.0,5.0,2.52,4.0,3.0,0.0,1.0,6.0,3.0,0.0,3.0,10.0,6.0,4.0,"(1, 3)"
