experiment,correct,incorrect,unrecognized,total,avg_confidence,max_confidence,min_confidence,sum_confidence_correct,num_components,threshold
0,2,2,0,4,609.3035216582196,967.29378948102,380.66809590958354,854.8320705111137,491,96727
1,2,2,0,4,913.9795421309937,1173.8002281751617,578.460540374388,2112.298535910878,166,60278
2,4,0,0,4,565.032989056138,937.1038983331892,240.92031828942928,2260.131956224552,939,74024
3,2,2,0,4,944.8362323647557,1305.9163635629595,351.55642787496885,2121.8721380210945,192,4176
4,4,0,0,4,849.7248675799742,1028.469598155229,594.9595780900852,3398.899470319897,100,75057
5,1,3,0,4,1036.3303097068638,1520.6675819747538,647.4173465176117,1520.6675819747538,77,75760
6,1,3,0,4,652.0440908577406,903.4917631921018,398.4182399905407,756.74217438026,954,74015
7,2,2,0,4,1130.7853385362978,1581.1674373010094,669.2535319731655,1748.9903416034726,671,99505
8,2,2,0,4,835.5973938114012,1646.881250136176,304.0136871767691,1391.4946379326593,483,40216
9,2,2,0,4,892.6332030828964,1267.0882401583804,529.482842330374,1559.9199001747243,653,87892
10,2,2,0,4,1049.6071613989052,1448.1175802338364,372.0815892375652,2756.260266123032,927,74020
11,2,2,0,4,582.8722083758247,787.5828176775016,251.47716403290016,1292.4288517928971,559,40087
12,2,2,0,4,978.4349778530487,1563.379743593116,718.3491684955169,2281.728912088633,550,76975
13,2,2,0,4,1130.769654201971,1900.6278727977328,388.7837167080919,1734.7576345094308,122,75070
14,2,2,0,4,778.4012543021997,1618.8498875364332,370.003679464842,1124.751450207524,559,76984
15,2,2,0,4,691.5731766285762,1076.2618072603473,342.65926738701603,1065.8140046588082,177,4184
16,2,2,0,4,814.4899737592524,1318.9806454797372,374.30241374908246,1564.67683580819,844,32015
17,1,3,0,4,716.0092075801322,1337.6722954261916,422.3904261639343,449.67121560945793,342,36980
18,2,2,0,4,916.4061043066702,1279.5495432340842,243.33993330841636,2142.73494068418,108,75054
19,2,2,0,4,818.3216078963271,1222.508516111178,478.7051929535853,1299.8984322276624,116,75049
20,1,3,0,4,847.8405783294601,1143.327365467134,374.9818313628014,1143.327365467134,901,44581
21,2,2,0,4,800.7431168209758,1541.0579794356483,230.4242732848716,1431.4902145633837,544,76954
22,2,2,0,4,1308.207872249343,2594.918400479505,387.6967163025602,1766.358085785409,932,74010
23,2,2,0,4,790.0831347606465,1790.2598192325831,253.1750662953309,1116.8976535146721,176,60258
24,2,2,0,4,567.7099764235195,672.3882488861844,471.51357853642895,1230.443102331552,717,5389
25,2,2,0,4,908.178880526053,1452.4986836734254,399.7152438496056,2799.5613418372095,148,75071
26,2,2,0,4,1052.136846545211,1771.6144681921412,763.1519140842427,1613.6535235776746,928,82817
27,2,2,0,4,860.7995120274365,1595.1515810186784,588.0370950772557,1229.1860125222115,736,61558
28,2,2,0,4,770.6397547654602,984.6353290963184,222.3293926932317,1905.4975022958365,102,75086
29,2,2,0,4,708.6366040717543,991.8161022005918,364.7638296647725,1128.642689708447,408,88431
30,2,2,0,4,760.9655810554709,1946.01257345342,270.4324705811736,827.4172801872901,107,75083
31,2,2,0,4,645.5159604091756,1099.3135833736317,294.0669860141771,1188.6832722488937,447,5063
32,2,2,0,4,1141.3399762365138,1508.4863409768243,653.7075246585645,1827.4244150583672,582,41734
33,4,0,0,4,918.4602427226645,1471.597489218776,416.9990709381481,3673.840970890658,504,14466
34,2,2,0,4,854.3904841136152,1252.492172564983,551.9134255040045,1373.8808068523663,114,6836
35,4,0,0,4,633.5988047364758,745.034067473451,507.98037174625017,2534.3952189459033,742,21906
36,2,2,0,4,824.3953556936823,1520.9018583072038,356.5700064140222,1420.1095580535032,190,10149
37,1,3,0,4,671.5773242611314,905.1503331470236,442.6908643936461,799.2383813287936,200,2918
38,2,2,0,4,840.6462216461308,1162.9180295641363,153.41813354460822,2046.2487234757787,645,25789
