experiment,correct,incorrect,unrecognized,total,avg_confidence,max_confidence,min_confidence,sum_confidence_correct,num_components,threshold
0,4,0,0,4,754.4553074908539,982.9229625699344,545.1505619220627,3017.8212299634156,535,31084
1,4,0,0,4,635.4090848749703,1628.213538719807,251.82208759562997,2541.636339499881,700,75710
2,2,2,0,4,729.7878670497689,1118.9529314006252,230.22550914122428,1614.1689540727646,292,35294
3,1,3,0,4,856.4822136460213,1318.2677902963203,192.31963868036453,1318.2677902963203,119,52031
4,2,2,0,4,909.9973179530881,1458.9112400840756,395.3215679503568,1854.2328080344323,786,47919
5,2,2,0,4,674.6708641863687,1151.7800579777845,146.36018306856803,2019.84180487373,761,62534
6,1,1,2,4,inf,1.7976931348623157e+308,129.11445498819756,129.11445498819756,423,366
7,1,3,0,4,659.362374945794,948.2615347883672,261.8332544305693,261.8332544305693,190,43154
8,1,3,0,4,756.1179240721206,1212.3906334951264,597.174573691413,597.174573691413,887,75964
9,4,0,0,4,450.7869443230612,635.2731833120775,332.1935823627583,1803.1477772922449,637,67829
10,2,2,0,4,867.3736088561986,1561.7205172852052,396.45789217219686,1220.7395687134092,809,83245
11,2,2,0,4,519.4602029829806,1064.2465493583184,129.10365610270802,1526.4094818838876,226,73205
12,2,2,0,4,444.06673216289573,579.9199054836472,380.9951278060495,992.20967273931,911,60591
13,2,2,0,4,925.6606275825754,1470.1069997642353,303.131956276062,1425.1434115128532,263,99633
14,2,2,0,4,894.2927682502892,1229.4742691180525,407.2891409282377,1636.7634100462901,592,94646
15,2,2,0,4,776.9841762347389,1528.5995275502858,470.01856125031287,1030.2767421970677,374,99383
16,4,0,0,4,938.2744500259676,1634.530752876889,696.2424429763781,3753.09780010387,188,96290
17,2,2,0,4,632.6766964174388,1174.2434636285602,246.2647158813594,1948.9329164480027,217,96320
18,4,0,0,4,817.4005979278971,1181.8926449457558,345.0104632172467,3269.6023917115886,891,36466
19,2,2,0,4,590.8812066990047,1080.3221131897644,229.0781997451309,1309.4003129348953,178,61630
20,2,2,0,4,561.7305495506589,732.0913325611406,421.5582485690124,1321.6017709299467,898,4000
21,2,2,0,4,744.5327858930805,1166.3890839997432,406.0614287258904,1572.4505127256336,311,14187
22,2,2,0,4,1240.7712690562837,2016.3187525710848,347.7531241007317,2276.001931831469,309,88413
23,2,2,0,4,906.0442124117297,1680.5198160914715,427.7719104168704,1264.6657126489645,880,36465
24,1,3,0,4,546.8888537760467,932.7071879518996,263.4543118778464,932.7071879518996,677,99233
25,2,2,0,4,803.2189730988196,1685.1242741730105,471.46483462099945,1056.2867836012686,322,71988
26,2,2,0,4,1064.2732477015438,1515.0611246494393,673.8627543216334,2068.1691118351023,905,36278
27,2,2,0,4,732.0024791590112,1507.5595799659322,199.5123679546514,1220.9379687154608,417,98630
28,1,3,0,4,931.9126629190497,2232.823815221323,168.53850939878245,508.5637360232687,883,65295
29,4,0,0,4,906.9570910971609,1122.4101455911366,742.5979198063301,3627.8283643886434,1000,35075
30,2,2,0,4,566.7956377704456,1122.4068969334946,72.5404619024358,1194.9473588359303,390,65256
31,2,2,0,4,533.7137165388275,742.3056794604377,321.73099764969527,665.3298308646497,449,37677
32,2,2,0,4,611.6513964465778,924.5558149802756,139.83041349310085,1777.8343132617008,212,85588
33,4,0,0,4,856.6399178845478,1987.6034031666163,99.23323094006558,3426.559671538191,995,16609
34,2,2,0,4,344.5649773601528,430.29226016264295,248.54605170250707,530.1369452717831,621,97176
35,2,2,0,4,606.1223637751632,963.4962211728669,408.26609813746927,1052.7271357903164,420,78426
36,2,2,0,4,982.3114855984841,1163.018860555115,766.8238674442285,2123.950215191446,266,76893
37,2,2,0,4,574.9893737313567,670.2022041539915,393.1100146381996,1322.6629424627758,201,85585
38,2,2,0,4,842.6143924154197,1095.372735328339,574.338638991897,1669.7113743202362,260,76862
39,1,3,0,4,629.3276343248442,1112.6516227497457,337.60122811963134,553.4358113261857,682,90644
40,2,2,0,4,407.8395299031586,538.8844821545119,178.84112951877773,588.5015908265528,653,31282
41,2,2,0,4,868.3888655844166,1401.1634166844244,424.9690472880566,1264.1007455379056,639,74453
42,2,2,0,4,580.5172950369746,862.6121992755761,247.4465380432235,1212.0104428290986,800,23548
43,2,2,0,4,1192.7763756917457,2664.2491713787667,285.31299216580373,1302.340533994557,505,58934
44,2,2,0,4,457.39079705130536,623.758334828523,295.10690030229915,910.6979530743993,882,1029
45,2,2,0,4,725.9734490407652,1007.8528648156154,353.7718959969644,1159.0762916532913,562,45384
46,2,2,0,4,1082.404567185927,1821.159160538544,592.7490308651609,2820.232408617306,201,85577
47,2,2,0,4,758.2790094622253,1609.4010960784765,323.0067595935004,1075.2385524656374,195,30445
48,2,2,0,4,540.3747459541067,772.5593349787039,328.9339143826505,1341.0149730076369,67,38654
49,1,3,0,4,439.76393765660134,932.573442518874,92.5953622214952,252.5309576073356,737,40076
50,2,2,0,4,1020.1278007549201,1984.6536416590068,458.794345010423,2443.4479866694296,206,85606
51,1,3,0,4,1073.7107173154027,1723.1375351823267,208.0895951026254,1723.1375351823267,204,3419
52,2,2,0,4,675.3024805037148,885.882359168257,407.502414889224,1762.7855587099166,371,39701
53,2,2,0,4,689.9220664674349,909.0179001081948,408.90666425790766,1317.9245643661025,163,80742
54,2,2,0,4,600.1911867344328,942.1564124768014,436.2538001664925,1016.964481641253,493,69375
55,2,2,0,4,396.6955877004216,519.1161482654587,141.20951338801393,1026.2387201184486,673,41656
56,2,2,0,4,392.52580139431996,599.014552327827,288.7929145914113,899.2204108043283,897,31141
57,2,2,0,4,723.7695465137973,1033.7214819115056,209.96443836696344,1651.39226577672,703,77228
58,2,2,0,4,735.1171009177655,862.4628018728666,579.6048059026125,1498.4007958955826,347,55557
59,2,2,0,4,601.9714948653468,1004.0896091041716,271.23292314666577,879.1365320527918,770,85316
60,2,2,0,4,642.9657320098071,689.0356559711572,575.6940448349427,1264.7297008061,137,89314
61,1,3,0,4,852.8170699552654,1319.2611798629357,379.82142277963567,788.0964328659898,104,37459
62,2,2,0,4,573.3313075627833,906.8083936642896,120.47191657516343,1473.8854597782317,786,11448
63,2,2,0,4,592.4811262239234,1139.126559061813,325.887177273124,807.0234363429045,279,52325
64,2,2,0,4,736.3082273737112,1099.523450307994,487.89657732317374,1785.0424479522053,632,93933
65,2,2,0,4,825.5730602462315,1487.0773589109149,102.19348883935402,1907.882822887349,467,69050
66,2,2,0,4,640.3578589103989,969.5166160214644,380.3568091278668,993.3234695430474,916,54626
67,2,2,0,4,886.9975203854469,1810.0537237681035,258.5353861994448,1092.316155397426,285,96976
68,1,3,0,4,788.0650006975236,998.3856581312496,655.0242890355887,764.6302466453338,537,59563
69,2,2,0,4,640.2510311866571,1039.5214814780436,391.6242139309688,1129.8584293376161,47,27211
70,2,2,0,4,665.9857815083234,1223.0925960271056,143.31062184919205,1949.5283995243321,266,76886
71,2,2,0,4,575.585397858442,1030.750176902609,126.24994324801048,1145.3414712831486,660,24746
72,2,2,0,4,762.3981269017562,971.2054057719428,538.7624442319291,1509.9678500038717,289,76883
73,2,2,0,4,464.8281663711331,582.153790472233,361.3456606745041,1100.2318998550522,631,93915
74,2,2,0,4,779.1563319753963,1443.915367761222,472.9209383651383,2026.6472541462556,250,76875
75,2,2,0,4,775.5267778854454,1135.8330059327534,363.7174263030472,1499.5504322358006,294,76896
76,2,2,0,4,896.0129682252157,1473.1390760197698,337.94689702291623,806.6193309360146,382,39712
