experiment,correct,incorrect,unrecognized,total,avg_confidence,max_confidence,min_confidence,sum_confidence_correct,radius,neighbors,grid,threshold
0,1,3,0,4,0.0,0.0,0.0,0.0,10,8,550,69529
1,0,0,4,4,inf,1.7976931348623157e+308,1.7976931348623157e+308,0.0,3,8,169,45087
2,1,3,0,4,0.0,0.0,0.0,0.0,64,8,572,38088
3,1,3,0,4,0.0,0.0,0.0,0.0,95,8,410,75637
4,1,3,0,4,0.0,0.0,0.0,0.0,64,8,562,86825
5,1,3,0,4,0.0,0.0,0.0,0.0,54,8,124,7
6,1,3,0,4,0.0,0.0,0.0,0.0,96,8,74,99905
7,1,3,0,4,1.582920912400357,1.77356232562325,1.3827153013852216,1.6944310110936702,76,8,1,15423
8,1,3,0,4,0.0,0.0,0.0,0.0,71,8,243,91435
9,1,3,0,4,0.0,0.0,0.0,0.0,81,8,140,70210
10,1,3,0,4,0.0,0.0,0.0,0.0,81,8,987,20593
11,2,2,0,4,5385.0,5612.0,5112.0,10724.0,80,8,38,15466
12,1,3,0,4,0.0,0.0,0.0,0.0,76,8,972,69635
13,1,3,0,4,0.0,0.0,0.0,0.0,33,8,345,46739
14,1,3,0,4,0.0,0.0,0.0,0.0,79,8,179,28877
15,1,3,0,4,0.0,0.0,0.0,0.0,80,8,751,82279
16,1,3,0,4,0.0,0.0,0.0,0.0,32,8,850,54739
17,1,3,0,4,0.0,0.0,0.0,0.0,47,8,108,18304
18,1,3,0,4,0.0,0.0,0.0,0.0,45,8,725,89601
19,1,3,0,4,0.0,0.0,0.0,0.0,71,8,99,63164
20,1,3,0,4,0.0,0.0,0.0,0.0,31,8,618,71066
21,1,3,0,4,0.0,0.0,0.0,0.0,86,8,864,56209
22,1,3,0,4,0.0,0.0,0.0,0.0,77,8,557,70666
23,1,3,0,4,0.0,0.0,0.0,0.0,33,8,887,61447
24,1,3,0,4,8010.538370448541,8098.026386070486,7928.758812525991,7928.758812525991,10,8,46,42911
25,1,3,0,4,0.0,0.0,0.0,0.0,46,8,769,20927
26,1,3,0,4,0.0,0.0,0.0,0.0,92,8,174,97113
27,1,3,0,4,0.0,0.0,0.0,0.0,67,8,90,71791
28,1,3,0,4,0.0,0.0,0.0,0.0,19,8,437,6303
29,1,3,0,4,0.0,0.0,0.0,0.0,6,8,550,3581
30,1,3,0,4,0.0,0.0,0.0,0.0,43,8,384,63443
31,1,3,0,4,0.0,0.0,0.0,0.0,76,8,297,84844
32,1,3,0,4,0.0,0.0,0.0,0.0,48,8,428,82712
33,2,2,0,4,7339.860201789323,7391.176951499376,7303.910560409106,14664.35329524881,23,8,45,42897
34,1,3,0,4,162.17928952469242,164.85947857401771,158.27692281613062,158.27692281613062,7,8,8,15444
35,1,3,0,4,0.0,0.0,0.0,0.0,22,8,856,10869
36,2,2,0,4,21444.0,21872.0,21212.0,42692.0,32,8,76,42912
37,1,3,0,4,0.0,0.0,0.0,0.0,95,8,227,79622
38,1,3,0,4,0.0,0.0,0.0,0.0,70,8,203,87717
39,2,2,0,4,3946.579300387629,4030.109614472877,3895.867934324925,7838.073430069715,21,8,33,42875
40,1,3,0,4,0.0,0.0,0.0,0.0,63,8,853,78979
41,1,3,0,4,0.0,0.0,0.0,0.0,90,8,806,93658
42,2,2,0,4,1793.5297619047624,1860.638095238096,1718.966666666667,3643.9857142857154,77,8,22,42953
43,1,3,0,4,0.0,0.0,0.0,0.0,93,8,68,42902
44,1,3,0,4,0.0,0.0,0.0,0.0,81,8,564,87884
45,2,2,0,4,2196.4008944687134,2240.403682482556,2155.061575392374,4390.138319999924,44,8,25,42941
46,2,2,0,4,20697.0,21224.0,20188.0,41376.0,58,8,74,42904
47,1,3,0,4,0.0,0.0,0.0,0.0,87,8,157,49657
48,1,3,0,4,0.0,0.0,0.0,0.0,95,8,160,46792
49,1,3,0,4,0.0,0.0,0.0,0.0,27,8,501,12510
50,1,3,0,4,0.0,0.0,0.0,0.0,70,8,128,15381
51,1,3,0,4,25997.692857142905,26273.000000000044,25742.161904761942,25742.161904761942,14,8,83,42942
52,1,3,0,4,0.0,0.0,0.0,0.0,83,8,316,24316
53,1,3,0,4,0.0,0.0,0.0,0.0,45,8,113,42984
54,1,3,0,4,0.0,0.0,0.0,0.0,74,8,716,53859
55,0,0,4,4,inf,1.7976931348623157e+308,1.7976931348623157e+308,0.0,8,8,133,42874
56,1,3,0,4,0.0,0.0,0.0,0.0,65,8,623,9298
57,1,3,0,4,0.0,0.0,0.0,0.0,39,8,153,42925
58,3,1,0,4,16179.0,16380.0,16076.0,48640.0,63,8,65,42846
59,1,3,0,4,0.0,0.0,0.0,0.0,71,8,687,59395
60,1,3,0,4,21013.0,21204.0,20648.0,21204.0,42,8,75,42965
61,1,3,0,4,0.0,0.0,0.0,0.0,65,8,95,42944
62,1,3,0,4,0.0,0.0,0.0,0.0,47,8,885,95053
63,1,3,0,4,0.0,0.0,0.0,0.0,33,8,799,31301
64,1,3,0,4,0.0,0.0,0.0,0.0,75,8,427,53269
65,1,3,0,4,3672.0,3776.0,3584.0,3644.0,74,8,31,15490
66,1,3,0,4,0.0,0.0,0.0,0.0,77,8,689,12359
67,2,2,0,4,10941.635899924331,11056.749959226452,10887.635491958044,21776.909877625076,9,8,54,42912
68,1,3,0,4,6759.0,6888.0,6636.0,6772.0,63,8,42,42854
69,2,2,0,4,30397.0,30672.0,29936.0,60980.0,18,8,89,42877
70,1,3,0,4,0.0,0.0,0.0,0.0,54,8,878,74704
71,4,0,0,4,28116.0,28412.0,27756.0,112464.0,52,8,86,42967
72,1,3,0,4,0.0,0.0,0.0,0.0,94,8,56,42966
73,2,2,0,4,10814.0,10864.0,10768.0,21616.0,64,8,53,42839
74,1,3,0,4,0.0,0.0,0.0,0.0,11,8,423,85497
75,1,3,0,4,22069.0,22596.0,21396.0,22268.0,33,8,77,42908
76,2,2,0,4,7150.478006847157,7452.383821966995,6908.383970744414,14241.144234677216,30,8,45,42822
77,1,3,0,4,0.0,0.0,0.0,0.0,55,8,96,42818
78,1,3,0,4,0.0,0.0,0.0,0.0,59,8,98,42865
79,1,3,0,4,0.0,0.0,0.0,0.0,73,8,61,15474
80,1,3,0,4,0.0,0.0,0.0,0.0,75,8,99,42971
81,1,3,0,4,0.0,0.0,0.0,0.0,68,8,95,42985
82,1,3,0,4,0.0,0.0,0.0,0.0,86,8,104,52983
83,1,3,0,4,0.0,0.0,0.0,0.0,98,8,662,58526
84,2,2,0,4,13939.661904761899,14159.485714285707,13808.071428571431,27791.09047619046,20,8,61,42752
85,2,2,0,4,4089.773185588351,4135.651142590537,4036.810109299161,8128.966245558226,14,8,34,42718
86,2,2,0,4,16333.0,16508.0,16132.0,32524.0,40,8,66,42721
87,1,3,0,4,0.0,0.0,0.0,0.0,87,8,39,15438
88,2,2,0,4,21402.0,21624.0,21224.0,42760.0,55,8,75,42743
89,1,3,0,4,9875.0,10000.0,9688.0,9908.0,50,8,51,42709
90,2,2,0,4,9933.171428571424,10117.933333333329,9751.357142857143,19863.395238095225,48,8,52,42907
91,2,2,0,4,28005.0,28468.0,27520.0,55516.0,30,8,86,42971
92,2,2,0,4,12865.0,13068.0,12492.0,25900.0,68,8,58,42905
93,2,2,0,4,1736.1770437339087,1784.3106247416204,1660.894503887433,3499.5030463065814,50,8,22,42834
94,2,2,0,4,13338.988095238099,13684.790476190465,13102.88095238098,26568.28095238095,25,8,60,42869
95,2,2,0,4,39740.0,40228.0,39052.0,79680.0,43,8,103,42744
96,2,2,0,4,16653.0,16844.0,16364.0,33208.0,39,8,67,42697
97,2,2,0,4,28930.0,29204.0,28652.0,58056.0,50,8,87,42907
98,1,3,0,4,0.0,0.0,0.0,0.0,81,8,70,42765
