confidence_sum,num_components,threshold
1194,390,65256
665,449,37677
1777,212,85588
3426,995,16609
530,621,97176
1052,420,78426
2123,266,76893
1322,201,85585
1669,260,76862
553,682,90644
588,653,31282
1264,639,74453
1212,800,23548
1302,505,58934
910,882,1029
1159,562,45384
2820,201,85577
1075,195,30445
1341,67,38654
252,737,40076
2443,206,85606
1723,204,3419
1762,371,39701
1317,163,80742
1016,493,69375
1026,673,41656
899,897,31141
1651,703,77228
1498,347,55557
879,770,85316
1264,137,89314
788,104,37459
1473,786,11448
807,279,52325
1785,632,93933
1907,467,69050
993,916,54626
1092,285,96976
764,537,59563
1129,47,27211
1949,266,76886
1145,660,24746
1509,289,76883
1100,631,93915
2026,250,76875
1499,294,76896
806,382,39712
256,188,3436
628,372,39703
1547,878,5521
1753,371,77017
124,665,71361
1443,331,68370
1207,165,41443
405,865,40708
1040,902,50097
1845,626,4934
1191,510,42460
904,315,55780
527,372,13560
1491,470,92750
628,938,4061
2798,768,59636
1389,454,24086
1258,834,48391
1342,858,83289
1744,662,85445
1558,10,15341
1632,773,91263
1424,499,83424
1804,644,44203
1812,117,78893
1499,819,11792
1205,54,55625
1269,196,62483
421,794,2588
1595,530,4644
975,878,82850
410,515,92286
749,874,78677
1896,92,35702
869,686,53481
2668,113,17269
1167,754,31327
942,460,68781
782,377,90137
1576,515,28767
1286,960,41528
1955,696,9161
1034,192,59575
1509,126,97837
1651,751,29918
1171,505,78512
2201,772,31469
1707,564,56167
2502,236,53348
600,935,690
1483,222,41210
692,521,81289
2017,487,80740
1074,105,85608
908,646,25077
2002,978,2972
1671,20,18250
852,111,1602
